,Roll,Name,Email,Branch
235,1401CS01,Arpita,Arpita@mycollege.in,CS
236,1401CS02,Divyanshi,Divyanshi@mycollege.in,CS
237,1401CS03,Yogesh,Yogesh@mycollege.in,CS
238,1401CS04,Deepika,Deepika@mycollege.in,CS
239,1401CS05,Astha,Astha@mycollege.in,CS
240,1401CS06,Sanjay,Sanjay@mycollege.in,CS
241,1401CS07,Mahek,Mahek@mycollege.in,CS
242,1401CS08,Narendra,Narendra@mycollege.in,CS
243,1401CS09,Ekta,Ekta@mycollege.in,CS
244,1401CS10,Adil,Adil@mycollege.in,CS
245,1401CS11,Ritesh,Ritesh@mycollege.in,CS
246,1401CS12,Bhumika,Bhumika@mycollege.in,CS
247,1401CS13,Samriddhi,Samriddhi@mycollege.in,CS
248,1401CS14,Anmol,Anmol@mycollege.in,CS
249,1401CS15,Aayushi,Aayushi@mycollege.in,CS
250,1401CS16,Akshay,Akshay@mycollege.in,CS
251,1401CS17,Shekhar,Shekhar@mycollege.in,CS
252,1401CS18,Amisha,Amisha@mycollege.in,CS
253,1401CS19,Amrita,Amrita@mycollege.in,CS
254,1401CS20,Sekhar,Sekhar@mycollege.in,CS
255,1401CS21,Kundalik,Kundalik@mycollege.in,CS
256,1401CS22,Durga,Durga@mycollege.in,CS
257,1401CS23,Apurva,Apurva@mycollege.in,CS
258,1401CS24,Alka,Alka@mycollege.in,CS
259,1401CS25,Indora,Indora@mycollege.in,CS
260,1401CS26,Aqsa,Aqsa@mycollege.in,CS
261,1401CS27,Anwar,Anwar@mycollege.in,CS
262,1401CS28,Apratim,Apratim@mycollege.in,CS
263,1401CS29,Hasni,Hasni@mycollege.in,CS
264,1401CS30,Dalia,Dalia@mycollege.in,CS
265,1401CS31,Aadharsh,Aadharsh@mycollege.in,CS
266,1401CS32,Amarnath,Amarnath@mycollege.in,CS
267,1401CS33,Bramoni,Bramoni@mycollege.in,CS
268,1401CS34,Nethaji,Nethaji@mycollege.in,CS
269,1401CS35,Chetna,Chetna@mycollege.in,CS
270,1401CS36,Aastha,Aastha@mycollege.in,CS
271,1401CS37,Aakriti,Aakriti@mycollege.in,CS
272,1401CS38,Abhyuday,Abhyuday@mycollege.in,CS
273,1401CS39,Akarsh,Akarsh@mycollege.in,CS
274,1401CS40,Navneet,Navneet@mycollege.in,CS
275,1401CS41,Om,Om@mycollege.in,CS
276,1401CS42,Swapnil,Swapnil@mycollege.in,CS
277,1401CS43,Akhil,Akhil@mycollege.in,CS
278,1401CS44,Madhav,Madhav@mycollege.in,CS
279,1401CS45,Divyam,Divyam@mycollege.in,CS
280,1401CS46,Kirti,Kirti@mycollege.in,CS
281,1401CS47,Annanya,Annanya@mycollege.in,CS
282,1401CS48,Arunima,Arunima@mycollege.in,CS
283,1401CS49,Niteesh,Niteesh@mycollege.in,CS
284,1401CS50,Nithisha,Nithisha@mycollege.in,CS
285,1401CS51,Sandhya,Sandhya@mycollege.in,CS
286,1401CS52,Uttam,Uttam@mycollege.in,CS
287,1401CS53,Vatsalya,Vatsalya@mycollege.in,CS
288,1401CS54,Aparna,Aparna@mycollege.in,CS
289,1401CS55,Disha,Disha@mycollege.in,CS
290,1401CS56,Seema,Seema@mycollege.in,CS
291,1401CS57,Suryansh,Suryansh@mycollege.in,CS
292,1401CS58,Yashaswi,Yashaswi@mycollege.in,CS
293,1401CS59,Avinash,Avinash@mycollege.in,CS
294,1401CS60,Smita,Smita@mycollege.in,CS
295,1401CS61,Subhra,Subhra@mycollege.in,CS
296,1401CS62,Tuhin,Tuhin@mycollege.in,CS
297,1401CS63,Arti,Arti@mycollege.in,CS
298,1401CS64,Aakash,Aakash@mycollege.in,CS
299,1401CS65,Ayan,Ayan@mycollege.in,CS
300,1401CS66,Aryan,Aryan@mycollege.in,CS
301,1401CS67,Vertika,Vertika@mycollege.in,CS
302,1401CS68,Umme,Umme@mycollege.in,CS
303,1401CS69,Yukti,Yukti@mycollege.in,CS
304,1401CS70,Vishesh,Vishesh@mycollege.in,CS
305,1401CS71,Ayushman,Ayushman@mycollege.in,CS
306,1401CS72,Geeta,Geeta@mycollege.in,CS
307,1401CS73,Divyanshu,Divyanshu@mycollege.in,CS
308,1401CS74,Jaswant,Jaswant@mycollege.in,CS
309,1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
310,1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
311,1401CS77,Bhawana,Bhawana@mycollege.in,CS
312,1401CS78,Divakar,Divakar@mycollege.in,CS
313,1401CS79,Dimpal,Dimpal@mycollege.in,CS
314,1401CS80,Shrestha,Shrestha@mycollege.in,CS
315,1401CS81,Shivanshi,Shivanshi@mycollege.in,CS
316,1401CS82,Shubh,Shubh@mycollege.in,CS
317,1401CS83,Shreyash,Shreyash@mycollege.in,CS
318,1401CS84,Satyarth,Satyarth@mycollege.in,CS
319,1401CS85,Satyam,Satyam@mycollege.in,CS
320,1401CS86,Shilpa,Shilpa@mycollege.in,CS
321,1401CS87,Shikha,Shikha@mycollege.in,CS
322,1401CS88,Soniya,Soniya@mycollege.in,CS
323,1401CS89,Tanay,Tanay@mycollege.in,CS
324,1401CS90,Sushant,Sushant@mycollege.in,CS
325,1401CS91,Ujjwal,Ujjwal@mycollege.in,CS
326,1401CS92,Tanu,Tanu@mycollege.in,CS
327,1401CS93,Subham,Subham@mycollege.in,CS
328,1401CS94,Srishti,Srishti@mycollege.in,CS
329,1401CS95,Suryakant,Suryakant@mycollege.in,CS
