Roll,Name,Email,Unnamed: 3,Unique,Dept
1401MM19,Nishant,Nishant@mycollege.in,,,MM
1401MM20,Aaditya,Aaditya@mycollege.in,,,MM
1401MM21,Vipasha,Vipasha@mycollege.in,,,MM
1401MM22,Abbas,Abbas@mycollege.in,,,MM
1401MM23,Anubha,Anubha@mycollege.in,,,MM
1401MM24,Chandra,Chandra@mycollege.in,,,MM
1401MM25,Ayesha,Ayesha@mycollege.in,,,MM
1401MM26,Rizwa,Rizwa@mycollege.in,,,MM
1401MM27,Sanjeeda,Sanjeeda@mycollege.in,,,MM
1401MM28,Devadathan,Devadathan@mycollege.in,,,MM
1401MM29,Vardhamann,Vardhamann@mycollege.in,,,MM
1401MM30,Sairam,Sairam@mycollege.in,,,MM
1401MM31,Abhedhya,Abhedhya@mycollege.in,,,MM
1401MM32,Gnaneswar,Gnaneswar@mycollege.in,,,MM
1401MM33,Sara,Sara@mycollege.in,,,MM
1401MM34,Rupal,Rupal@mycollege.in,,,MM
1401MM35,Sahaj,Sahaj@mycollege.in,,,MM
1401MM36,Robin,Robin@mycollege.in,,,MM
1401MM37,Rupanjali,Rupanjali@mycollege.in,,,MM
1401MM38,Rupeshwary,Rupeshwary@mycollege.in,,,MM
1401MM39,Brahmaputra,Brahmaputra@mycollege.in,,,MM
1401MM40,Hariharan,Hariharan@mycollege.in,,,MM
1401MM41,Pranav,Pranav@mycollege.in,,,MM
1401MM42,Babu,Babu@mycollege.in,,,MM
1401MM43,Bibhu,Bibhu@mycollege.in,,,MM
1401MM44,Chirayu,Chirayu@mycollege.in,,,MM
1401MM45,Sameeksha,Sameeksha@mycollege.in,,,MM
1401MM46,Ashmita,Ashmita@mycollege.in,,,MM
1401MM47,Chhavi,Chhavi@mycollege.in,,,MM
1401MM48,Shreepriya,Shreepriya@mycollege.in,,,MM
1401MM49,Nahid,Nahid@mycollege.in,,,MM
1401MM50,Sharique,Sharique@mycollege.in,,,MM
1401MM51,Anusha,Anusha@mycollege.in,,,MM
1401MM52,Anunay,Anunay@mycollege.in,,,MM
1401MM53,Vidit,Vidit@mycollege.in,,,MM
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,,,MM
1401MM55,Anshit,Anshit@mycollege.in,,,MM
1401MM56,Anubhuti,Anubhuti@mycollege.in,,,MM
1401MM57,Vashif,Vashif@mycollege.in,,,MM
1401MM58,Jahangeer,Jahangeer@mycollege.in,,,MM
1401MM59,Sharanya,Sharanya@mycollege.in,,,MM
1401MM60,Saudamini,Saudamini@mycollege.in,,,MM
1401MM61,Arshad,Arshad@mycollege.in,,,MM
1401MM62,Yeram,Yeram@mycollege.in,,,MM
1401MM63,Asad,Asad@mycollege.in,,,MM
1401MM64,Asthana,Asthana@mycollege.in,,,MM
1401MM65,Asmita,Asmita@mycollege.in,,,MM
1401MM66,Ashal,Ashal@mycollege.in,,,MM
1401MM67,Zeal,Zeal@mycollege.in,,,MM
1401MM68,Areeb,Areeb@mycollege.in,,,MM
1401MM69,Archita,Archita@mycollege.in,,,MM
1401MM70,Archi,Archi@mycollege.in,,,MM
1401MM71,Arish,Arish@mycollege.in,,,MM
1401MM72,Shyamali,Shyamali@mycollege.in,,,MM
1401MM73,Sejal,Sejal@mycollege.in,,,MM
1401MM74,Shaileja,Shaileja@mycollege.in,,,MM
1401MM75,Gitanshu,Gitanshu@mycollege.in,,,MM
1401MM76,Mansoon,Mansoon@mycollege.in,,,MM
1401MM77,Akshaya,Akshaya@mycollege.in,,,MM
1401MM78,Madhusri,Madhusri@mycollege.in,,,MM
1401MM79,Meet,Meet@mycollege.in,,,MM
1401MM80,Prajeeth,Prajeeth@mycollege.in,,,MM
1401MM81,Gyanvi,Gyanvi@mycollege.in,,,MM
1401MM82,Govindam,Govindam@mycollege.in,,,MM
1401MT01,Mairaz,Mairaz@mycollege.in,,,MT
1401MT02,Abhilasha,Abhilasha@mycollege.in,,,MT
1401MT03,Mritunjay,Mritunjay@mycollege.in,,,MT
1401MT04,Mudit,Mudit@mycollege.in,,,MT
1401MT05,Mubasshira,Mubasshira@mycollege.in,,,MT
1401MT06,Goldy,Goldy@mycollege.in,,,MT
1401MT07,Monish,Monish@mycollege.in,,,MT
1401MT08,Moosvi,Moosvi@mycollege.in,,,MT
1401MT09,Fariya,Fariya@mycollege.in,,,MT
1401MT10,Toshit,Toshit@mycollege.in,,,MT
1401MT11,Kanha,Kanha@mycollege.in,,,MT
1401MT12,Khalid,Khalid@mycollege.in,,,MT
1401MT13,Kaushiki,Kaushiki@mycollege.in,,,MT
1401MT14,Elamathi,Elamathi@mycollege.in,,,MT
1401MT15,Vasundhara,Vasundhara@mycollege.in,,,MT
1401MT16,Kandarp,Kandarp@mycollege.in,,,MT
1401MT17,Noopur,Noopur@mycollege.in,,,MT
1401MT18,Suchita,Suchita@mycollege.in,,,MT
1401MT19,Sumaiya,Sumaiya@mycollege.in,,,MT
1401MT20,Himanshi,Himanshi@mycollege.in,,,MT
1401MT21,Ibrahim,Ibrahim@mycollege.in,,,MT
1401MT22,Jagriti,Jagriti@mycollege.in,,,MT
1401MT23,Khansa,Khansa@mycollege.in,,,MT
1401MT24,Kunaal,Kunaal@mycollege.in,,,MT
1401MT25,Ishwa,Ishwa@mycollege.in,,,MT
1401MT26,Joshika,Joshika@mycollege.in,,,MT
1401MT27,Sawan,Sawan@mycollege.in,,,MT
1401MT28,Priyesh,Priyesh@mycollege.in,,,MT
1401MT29,Priyal,Priyal@mycollege.in,,,MT
1401MT30,Pradium,Pradium@mycollege.in,,,MT
1401MT31,Omhari,Omhari@mycollege.in,,,MT
1401MT32,Pranidhi,Pranidhi@mycollege.in,,,MT
1401MT33,Leena,Leena@mycollege.in,,,MT
1401MT34,Harshada,Harshada@mycollege.in,,,MT
