,Roll,Name,Email,Branch
0,1401AI01,Abhishek,Abhishek@mycollege.in,AI
1,1401AI02,Aman,Aman@mycollege.in,AI
2,1401AI03,Harsh,Harsh@mycollege.in,AI
3,1401AI04,Ayush,Ayush@mycollege.in,AI
4,1401AI05,Aditi,Aditi@mycollege.in,AI
5,1401AI06,Anjali,Anjali@mycollege.in,AI
6,1401AI07,Shubham,Shubham@mycollege.in,AI
7,1401AI08,Anushka,Anushka@mycollege.in,AI
8,1401AI09,Rohit,Rohit@mycollege.in,AI
9,1401AI10,Saurabh,Saurabh@mycollege.in,AI
10,1401AI11,Muskan,Muskan@mycollege.in,AI
11,1401AI12,Rahul,Rahul@mycollege.in,AI
12,1401AI13,Utkarsh,Utkarsh@mycollege.in,AI
13,1401AI14,Vaibhav,Vaibhav@mycollege.in,AI
14,1401AI15,Amit,Amit@mycollege.in,AI
15,1401AI16,Saumya,Saumya@mycollege.in,AI
16,1401AI17,Rishabh,Rishabh@mycollege.in,AI
17,1401AI18,Shruti,Shruti@mycollege.in,AI
18,1401AI19,Himanshu,Himanshu@mycollege.in,AI
19,1401AI20,Kajal,Kajal@mycollege.in,AI
20,1401AI21,Ankit,Ankit@mycollege.in,AI
21,1401AI22,Gaurav,Gaurav@mycollege.in,AI
22,1401AI23,Nikhil,Nikhil@mycollege.in,AI
23,1401AI24,Siddharth,Siddharth@mycollege.in,AI
24,1401AI25,Prashant,Prashant@mycollege.in,AI
25,1401AI26,Priya,Priya@mycollege.in,AI
26,1401AI27,Harshit,Harshit@mycollege.in,AI
27,1401AI28,Shashank,Shashank@mycollege.in,AI
28,1401AI29,Akash,Akash@mycollege.in,AI
29,1401AI30,Varun,Varun@mycollege.in,AI
30,1401AI31,Yash,Yash@mycollege.in,AI
31,1401AI32,Shreya,Shreya@mycollege.in,AI
32,1401AI33,Harshita,Harshita@mycollege.in,AI
33,1401AI34,Anurag,Anurag@mycollege.in,AI
34,1401AI35,Vivek,Vivek@mycollege.in,AI
35,1401AI36,Swati,Swati@mycollege.in,AI
36,1401AI37,Vishal,Vishal@mycollege.in,AI
37,1401AI38,Aditya,Aditya@mycollege.in,AI
38,1401AI39,Nidhi,Nidhi@mycollege.in,AI
39,1401AI40,Ayushi,Ayushi@mycollege.in,AI
40,1401AI41,Krishna,Krishna@mycollege.in,AI
41,1401AI42,Anshika,Anshika@mycollege.in,AI
42,1401AI43,Sakshi,Sakshi@mycollege.in,AI
43,1401AI44,Shivani,Shivani@mycollege.in,AI
44,1401AI45,Prakhar,Prakhar@mycollege.in,AI
