,Roll,Name,Email,Branch
45,1401CB01,Mansi,Mansi@mycollege.in,CB
46,1401CB02,Tushar,Tushar@mycollege.in,CB
47,1401CB03,Abhinav,Abhinav@mycollege.in,CB
48,1401CB04,Shivangi,Shivangi@mycollege.in,CB
49,1401CB05,Ashutosh,Ashutosh@mycollege.in,CB
50,1401CB06,Adarsh,Adarsh@mycollege.in,CB
51,1401CB07,Divya,Divya@mycollege.in,CB
52,1401CB08,Piyush,Piyush@mycollege.in,CB
53,1401CB09,Pragya,Pragya@mycollege.in,CB
54,1401CB10,Ajay,Ajay@mycollege.in,CB
55,1401CB11,Akanksha,Akanksha@mycollege.in,CB
56,1401CB12,Neeraj,Neeraj@mycollege.in,CB
57,1401CB13,Ritika,Ritika@mycollege.in,CB
58,1401CB14,Tanya,Tanya@mycollege.in,CB
59,1401CB15,Nisha,Nisha@mycollege.in,CB
60,1401CB16,Arun,Arun@mycollege.in,CB
61,1401CB17,Pallavi,Pallavi@mycollege.in,CB
62,1401CB18,Aniket,Aniket@mycollege.in,CB
63,1401CB19,Nikita,Nikita@mycollege.in,CB
64,1401CB20,Vijay,Vijay@mycollege.in,CB
65,1401CB21,Ananya,Ananya@mycollege.in,CB
66,1401CB22,Priyanshi,Priyanshi@mycollege.in,CB
67,1401CB23,Suraj,Suraj@mycollege.in,CB
68,1401CB24,Akshat,Akshat@mycollege.in,CB
69,1401CB25,Ishika,Ishika@mycollege.in,CB
70,1401CB26,Mohit,Mohit@mycollege.in,CB
71,1401CB27,Palak,Palak@mycollege.in,CB
72,1401CB28,Ankur,Ankur@mycollege.in,CB
73,1401CB29,Richa,Richa@mycollege.in,CB
74,1401CB30,Ravi,Ravi@mycollege.in,CB
75,1401CB31,Arpit,Arpit@mycollege.in,CB
76,1401CB32,Ankita,Ankita@mycollege.in,CB
77,1401CB33,Shraddha,Shraddha@mycollege.in,CB
78,1401CB34,Deepak,Deepak@mycollege.in,CB
79,1401CB35,Priyanka,Priyanka@mycollege.in,CB
80,1401CB36,Khushi,Khushi@mycollege.in,CB
81,1401CB37,Shweta,Shweta@mycollege.in,CB
82,1401CB38,Kavya,Kavya@mycollege.in,CB
83,1401CB39,Kunal,Kunal@mycollege.in,CB
84,1401CB40,Dheeraj,Dheeraj@mycollege.in,CB
85,1401CB41,Akshita,Akshita@mycollege.in,CB
86,1401CB42,Riya,Riya@mycollege.in,CB
87,1401CB43,Sneha,Sneha@mycollege.in,CB
88,1401CB44,Pranjal,Pranjal@mycollege.in,CB
89,1401CB45,Isha,Isha@mycollege.in,CB
90,1401CB46,Sumit,Sumit@mycollege.in,CB
91,1401CB47,Kishan,Kishan@mycollege.in,CB
92,1401CB48,Pawan,Pawan@mycollege.in,CB
93,1401CB49,Soumya,Soumya@mycollege.in,CB
94,1401CB50,Neelesh,Neelesh@mycollege.in,CB
