,Roll,Name,Email,Branch
330,1401CT01,Sudhanshu,Sudhanshu@mycollege.in,CT
331,1401CT02,Shivang,Shivang@mycollege.in,CT
332,1401CT03,Shilpi,Shilpi@mycollege.in,CT
333,1401CT04,Sourabh,Sourabh@mycollege.in,CT
334,1401CT05,Sonu,Sonu@mycollege.in,CT
335,1401CT06,Shakti,Shakti@mycollege.in,CT
336,1401CT07,Satendra,Satendra@mycollege.in,CT
337,1401CT08,Shaqib,Shaqib@mycollege.in,CT
338,1401CT09,Shalu,Shalu@mycollege.in,CT
339,1401CT10,Sudheer,Sudheer@mycollege.in,CT
340,1401CT11,Vipul,Vipul@mycollege.in,CT
341,1401CT12,Vipin,Vipin@mycollege.in,CT
342,1401CT13,Yashika,Yashika@mycollege.in,CT
343,1401CT14,Virat,Virat@mycollege.in,CT
344,1401CT15,Varsha,Varsha@mycollege.in,CT
345,1401CT16,Sunny,Sunny@mycollege.in,CT
346,1401CT17,Vineeta,Vineeta@mycollege.in,CT
347,1401CT18,Vibhanshu,Vibhanshu@mycollege.in,CT
348,1401CT19,Monti,Monti@mycollege.in,CT
349,1401CT20,Minakshi,Minakshi@mycollege.in,CT
350,1401CT21,Nitikarsh,Nitikarsh@mycollege.in,CT
351,1401CT22,Mugdha,Mugdha@mycollege.in,CT
352,1401CT23,Madhu,Madhu@mycollege.in,CT
353,1401CT24,Khanak,Khanak@mycollege.in,CT
354,1401CT25,Megha,Megha@mycollege.in,CT
355,1401CT26,Manya,Manya@mycollege.in,CT
356,1401CT27,Pakhi,Pakhi@mycollege.in,CT
357,1401CT28,Ranu,Ranu@mycollege.in,CT
358,1401CT29,Purvi,Purvi@mycollege.in,CT
359,1401CT30,Sapna,Sapna@mycollege.in,CT
360,1401CT31,Saloni,Saloni@mycollege.in,CT
361,1401CT32,Prachi,Prachi@mycollege.in,CT
362,1401CT33,Poonam,Poonam@mycollege.in,CT
363,1401CT34,Purnima,Purnima@mycollege.in,CT
364,1401CT35,Prajjwal,Prajjwal@mycollege.in,CT
365,1401CT36,Satya,Satya@mycollege.in,CT
366,1401CT37,Vandana,Vandana@mycollege.in,CT
367,1401CT38,Tanishq,Tanishq@mycollege.in,CT
368,1401CT39,Amaan,Amaan@mycollege.in,CT
369,1401CT40,Yuvraj,Yuvraj@mycollege.in,CT
370,1401CT41,Saurav,Saurav@mycollege.in,CT
371,1401CT42,Sanjeev,Sanjeev@mycollege.in,CT
372,1401CT43,Simaran,Simaran@mycollege.in,CT
373,1401CT44,Shrishti,Shrishti@mycollege.in,CT
374,1401CT45,Amrit,Amrit@mycollege.in,CT
375,1401CT46,Arman,Arman@mycollege.in,CT
376,1401CT47,Archana,Archana@mycollege.in,CT
377,1401CT48,Avanish,Avanish@mycollege.in,CT
378,1401CT49,Yusuf,Yusuf@mycollege.in,CT
379,1401CT50,Anubhav,Anubhav@mycollege.in,CT
380,1401CT51,Anita,Anita@mycollege.in,CT
381,1401CT52,Anupriya,Anupriya@mycollege.in,CT
382,1401CT53,Anukriti,Anukriti@mycollege.in,CT
383,1401CT54,Kritika,Kritika@mycollege.in,CT
384,1401CT55,Jaya,Jaya@mycollege.in,CT
385,1401CT56,Namrata,Namrata@mycollege.in,CT
386,1401CT57,Kushagra,Kushagra@mycollege.in,CT
387,1401CT58,Hariom,Hariom@mycollege.in,CT
388,1401CT59,Gargi,Gargi@mycollege.in,CT
389,1401CT60,Janvi,Janvi@mycollege.in,CT
390,1401CT61,Jai,Jai@mycollege.in,CT
391,1401CT62,Naziya,Naziya@mycollege.in,CT
392,1401CT63,Ragini,Ragini@mycollege.in,CT
393,1401CT64,Priyam,Priyam@mycollege.in,CT
