,Roll,Name,Email,Branch
448,1401MC01,Indra,Indra@mycollege.in,MC
449,1401MC02,Sasi,Sasi@mycollege.in,MC
450,1401MC03,Arvind,Arvind@mycollege.in,MC
451,1401MC04,Kartik,Kartik@mycollege.in,MC
452,1401MC05,Kartikeya,Kartikeya@mycollege.in,MC
453,1401MC06,Chaitanya,Chaitanya@mycollege.in,MC
454,1401MC07,Mani,Mani@mycollege.in,MC
455,1401MC08,Sukirti,Sukirti@mycollege.in,MC
456,1401MC09,Subodh,Subodh@mycollege.in,MC
457,1401MC10,Surendra,Surendra@mycollege.in,MC
458,1401MC11,Ashok,Ashok@mycollege.in,MC
459,1401MC12,Suresh,Suresh@mycollege.in,MC
460,1401MC13,Karthikeya,Karthikeya@mycollege.in,MC
461,1401MC14,Lalit,Lalit@mycollege.in,MC
462,1401MC15,Urmila,Urmila@mycollege.in,MC
463,1401MC16,Sudhakar,Sudhakar@mycollege.in,MC
464,1401MC17,Dhruva,Dhruva@mycollege.in,MC
465,1401MC18,Dhananjay,Dhananjay@mycollege.in,MC
466,1401MC19,Rama,Rama@mycollege.in,MC
467,1401MC20,Raj,Raj@mycollege.in,MC
468,1401MC21,Chinmay,Chinmay@mycollege.in,MC
469,1401MC22,Chahat,Chahat@mycollege.in,MC
470,1401MC23,Sourav,Sourav@mycollege.in,MC
471,1401MC24,Desh,Desh@mycollege.in,MC
472,1401MC25,Raashi,Raashi@mycollege.in,MC
473,1401MC26,Ram,Ram@mycollege.in,MC
474,1401MC27,Laxmi,Laxmi@mycollege.in,MC
475,1401MC28,Krishan,Krishan@mycollege.in,MC
476,1401MC29,Yatharth,Yatharth@mycollege.in,MC
477,1401MC30,Mridul,Mridul@mycollege.in,MC
478,1401MC31,Vinay,Vinay@mycollege.in,MC
479,1401MC32,Sreekanth,Sreekanth@mycollege.in,MC
480,1401MC33,Sweta,Sweta@mycollege.in,MC
481,1401MC34,Thaanya,Thaanya@mycollege.in,MC
482,1401MC35,Rakesh,Rakesh@mycollege.in,MC
483,1401MC36,Pinky,Pinky@mycollege.in,MC
484,1401MC37,Raju,Raju@mycollege.in,MC
485,1401MC38,Rajiv,Rajiv@mycollege.in,MC
486,1401MC39,Rajkumar,Rajkumar@mycollege.in,MC
487,1401MC40,Pushkar,Pushkar@mycollege.in,MC
488,1401MC41,Asutosh,Asutosh@mycollege.in,MC
489,1401MC42,Pradip,Pradip@mycollege.in,MC
490,1401MC43,Mrityunjay,Mrityunjay@mycollege.in,MC
491,1401MC44,Kavish,Kavish@mycollege.in,MC
492,1401MC45,Monica,Monica@mycollege.in,MC
493,1401MC46,Sabareesh,Sabareesh@mycollege.in,MC
494,1401MC47,Lakshmi,Lakshmi@mycollege.in,MC
495,1401MC48,Love,Love@mycollege.in,MC
496,1401MC49,Lekhraj,Lekhraj@mycollege.in,MC
497,1401MC50,Sahil,Sahil@mycollege.in,MC
498,1401MC51,Seshikanth,Seshikanth@mycollege.in,MC
499,1401MC52,Kalpana,Kalpana@mycollege.in,MC
500,1401MC53,Santosh,Santosh@mycollege.in,MC
501,1401MC54,Kapil,Kapil@mycollege.in,MC
502,1401MC55,Subash,Subash@mycollege.in,MC
503,1401MC56,Raunak,Raunak@mycollege.in,MC
504,1401MC57,Mangal,Mangal@mycollege.in,MC
505,1401MC58,Tejas,Tejas@mycollege.in,MC
506,1401MC59,Mayur,Mayur@mycollege.in,MC
507,1401MC60,Ravisankar,Ravisankar@mycollege.in,MC
508,1401MC61,Mahesh,Mahesh@mycollege.in,MC
509,1401MC62,Mahato,Mahato@mycollege.in,MC
510,1401MC63,Aaryan,Aaryan@mycollege.in,MC
511,1401MC64,Manas,Manas@mycollege.in,MC
512,1401MC65,Surbhi,Surbhi@mycollege.in,MC
513,1401MC66,Deepshikha,Deepshikha@mycollege.in,MC
514,1401MC67,Amar,Amar@mycollege.in,MC
515,1401MC68,Anuj,Anuj@mycollege.in,MC
516,1401MC69,Siddhesh,Siddhesh@mycollege.in,MC
517,1401MC70,Venkata,Venkata@mycollege.in,MC
518,1401MC71,Renu,Renu@mycollege.in,MC
519,1401MC72,Farhan,Farhan@mycollege.in,MC
520,1401MC73,Vignesh,Vignesh@mycollege.in,MC
521,1401MC74,Abhimanyu,Abhimanyu@mycollege.in,MC
522,1401MC75,Faraz,Faraz@mycollege.in,MC
