,Roll,Name,Email,Branch
523,1401MM01,Bilal,Bilal@mycollege.in,MM
524,1401MM02,Abhilash,Abhilash@mycollege.in,MM
525,1401MM03,Vaishali,Vaishali@mycollege.in,MM
526,1401MM04,Apoorva,Apoorva@mycollege.in,MM
527,1401MM05,Hemlata,Hemlata@mycollege.in,MM
528,1401MM06,Aanchal,Aanchal@mycollege.in,MM
529,1401MM07,Sathwika,Sathwika@mycollege.in,MM
530,1401MM08,Deepa,Deepa@mycollege.in,MM
531,1401MM09,Utkarsha,Utkarsha@mycollege.in,MM
532,1401MM10,Deep,Deep@mycollege.in,MM
533,1401MM11,Dushyant,Dushyant@mycollege.in,MM
534,1401MM12,Anshuman,Anshuman@mycollege.in,MM
535,1401MM13,Sukumaran,Sukumaran@mycollege.in,MM
536,1401MM14,Chandran,Chandran@mycollege.in,MM
537,1401MM15,Anshul,Anshul@mycollege.in,MM
538,1401MM16,Saanchi,Saanchi@mycollege.in,MM
539,1401MM17,Aadil,Aadil@mycollege.in,MM
540,1401MM18,Ali,Ali@mycollege.in,MM
541,1401MM19,Nishant,Nishant@mycollege.in,MM
542,1401MM20,Aaditya,Aaditya@mycollege.in,MM
543,1401MM21,Vipasha,Vipasha@mycollege.in,MM
544,1401MM22,Abbas,Abbas@mycollege.in,MM
545,1401MM23,Anubha,Anubha@mycollege.in,MM
546,1401MM24,Chandra,Chandra@mycollege.in,MM
547,1401MM25,Ayesha,Ayesha@mycollege.in,MM
548,1401MM26,Rizwa,Rizwa@mycollege.in,MM
549,1401MM27,Sanjeeda,Sanjeeda@mycollege.in,MM
550,1401MM28,Devadathan,Devadathan@mycollege.in,MM
551,1401MM29,Vardhamann,Vardhamann@mycollege.in,MM
552,1401MM30,Sairam,Sairam@mycollege.in,MM
553,1401MM31,Abhedhya,Abhedhya@mycollege.in,MM
554,1401MM32,Gnaneswar,Gnaneswar@mycollege.in,MM
555,1401MM33,Sara,Sara@mycollege.in,MM
556,1401MM34,Rupal,Rupal@mycollege.in,MM
557,1401MM35,Sahaj,Sahaj@mycollege.in,MM
558,1401MM36,Robin,Robin@mycollege.in,MM
559,1401MM37,Rupanjali,Rupanjali@mycollege.in,MM
560,1401MM38,Rupeshwary,Rupeshwary@mycollege.in,MM
561,1401MM39,Brahmaputra,Brahmaputra@mycollege.in,MM
562,1401MM40,Hariharan,Hariharan@mycollege.in,MM
563,1401MM41,Pranav,Pranav@mycollege.in,MM
564,1401MM42,Babu,Babu@mycollege.in,MM
565,1401MM43,Bibhu,Bibhu@mycollege.in,MM
566,1401MM44,Chirayu,Chirayu@mycollege.in,MM
567,1401MM45,Sameeksha,Sameeksha@mycollege.in,MM
568,1401MM46,Ashmita,Ashmita@mycollege.in,MM
569,1401MM47,Chhavi,Chhavi@mycollege.in,MM
570,1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
571,1401MM49,Nahid,Nahid@mycollege.in,MM
572,1401MM50,Sharique,Sharique@mycollege.in,MM
573,1401MM51,Anusha,Anusha@mycollege.in,MM
574,1401MM52,Anunay,Anunay@mycollege.in,MM
575,1401MM53,Vidit,Vidit@mycollege.in,MM
576,1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
577,1401MM55,Anshit,Anshit@mycollege.in,MM
578,1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
579,1401MM57,Vashif,Vashif@mycollege.in,MM
580,1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
581,1401MM59,Sharanya,Sharanya@mycollege.in,MM
582,1401MM60,Saudamini,Saudamini@mycollege.in,MM
583,1401MM61,Arshad,Arshad@mycollege.in,MM
584,1401MM62,Yeram,Yeram@mycollege.in,MM
585,1401MM63,Asad,Asad@mycollege.in,MM
586,1401MM64,Asthana,Asthana@mycollege.in,MM
587,1401MM65,Asmita,Asmita@mycollege.in,MM
588,1401MM66,Ashal,Ashal@mycollege.in,MM
589,1401MM67,Zeal,Zeal@mycollege.in,MM
590,1401MM68,Areeb,Areeb@mycollege.in,MM
591,1401MM69,Archita,Archita@mycollege.in,MM
592,1401MM70,Archi,Archi@mycollege.in,MM
593,1401MM71,Arish,Arish@mycollege.in,MM
594,1401MM72,Shyamali,Shyamali@mycollege.in,MM
595,1401MM73,Sejal,Sejal@mycollege.in,MM
596,1401MM74,Shaileja,Shaileja@mycollege.in,MM
597,1401MM75,Gitanshu,Gitanshu@mycollege.in,MM
598,1401MM76,Mansoon,Mansoon@mycollege.in,MM
599,1401MM77,Akshaya,Akshaya@mycollege.in,MM
600,1401MM78,Madhusri,Madhusri@mycollege.in,MM
601,1401MM79,Meet,Meet@mycollege.in,MM
602,1401MM80,Prajeeth,Prajeeth@mycollege.in,MM
603,1401MM81,Gyanvi,Gyanvi@mycollege.in,MM
604,1401MM82,Govindam,Govindam@mycollege.in,MM
