,Roll,Name,Email,Branch
605,1401MT01,Mairaz,Mairaz@mycollege.in,MT
606,1401MT02,Abhilasha,Abhilasha@mycollege.in,MT
607,1401MT03,Mritunjay,Mritunjay@mycollege.in,MT
608,1401MT04,Mudit,Mudit@mycollege.in,MT
609,1401MT05,Mubasshira,Mubasshira@mycollege.in,MT
610,1401MT06,Goldy,Goldy@mycollege.in,MT
611,1401MT07,Monish,Monish@mycollege.in,MT
612,1401MT08,Moosvi,Moosvi@mycollege.in,MT
613,1401MT09,Fariya,Fariya@mycollege.in,MT
614,1401MT10,Toshit,Toshit@mycollege.in,MT
615,1401MT11,Kanha,Kanha@mycollege.in,MT
616,1401MT12,Khalid,Khalid@mycollege.in,MT
617,1401MT13,Kaushiki,Kaushiki@mycollege.in,MT
618,1401MT14,Elamathi,Elamathi@mycollege.in,MT
619,1401MT15,Vasundhara,Vasundhara@mycollege.in,MT
620,1401MT16,Kandarp,Kandarp@mycollege.in,MT
621,1401MT17,Noopur,Noopur@mycollege.in,MT
622,1401MT18,Suchita,Suchita@mycollege.in,MT
623,1401MT19,Sumaiya,Sumaiya@mycollege.in,MT
624,1401MT20,Himanshi,Himanshi@mycollege.in,MT
625,1401MT21,Ibrahim,Ibrahim@mycollege.in,MT
626,1401MT22,Jagriti,Jagriti@mycollege.in,MT
627,1401MT23,Khansa,Khansa@mycollege.in,MT
628,1401MT24,Kunaal,Kunaal@mycollege.in,MT
629,1401MT25,Ishwa,Ishwa@mycollege.in,MT
630,1401MT26,Joshika,Joshika@mycollege.in,MT
631,1401MT27,Sawan,Sawan@mycollege.in,MT
632,1401MT28,Priyesh,Priyesh@mycollege.in,MT
633,1401MT29,Priyal,Priyal@mycollege.in,MT
634,1401MT30,Pradium,Pradium@mycollege.in,MT
635,1401MT31,Omhari,Omhari@mycollege.in,MT
636,1401MT32,Pranidhi,Pranidhi@mycollege.in,MT
637,1401MT33,Leena,Leena@mycollege.in,MT
638,1401MT34,Harshada,Harshada@mycollege.in,MT
639,1401MT35,Prathmesh,Prathmesh@mycollege.in,MT
640,1401MT36,Ritank,Ritank@mycollege.in,MT
641,1401MT37,Rishit,Rishit@mycollege.in,MT
642,1401MT38,Meenu,Meenu@mycollege.in,MT
643,1401MT39,Ranjan,Ranjan@mycollege.in,MT
644,1401MT40,Shukant,Shukant@mycollege.in,MT
645,1401MT41,Jashveer,Jashveer@mycollege.in,MT
646,1401MT42,Nargis,Nargis@mycollege.in,MT
647,1401MT43,Shreyans,Shreyans@mycollege.in,MT
648,1401MT44,Manaswini,Manaswini@mycollege.in,MT
649,1401MT45,Neelu,Neelu@mycollege.in,MT
650,1401MT46,Mukund,Mukund@mycollege.in,MT
651,1401MT47,Eshma,Eshma@mycollege.in,MT
652,1401MT48,Aruba,Aruba@mycollege.in,MT
653,1401MT49,Ehtisham,Ehtisham@mycollege.in,MT
654,1401MT50,Nitya,Nitya@mycollege.in,MT
655,1401MT51,Nishu,Nishu@mycollege.in,MT
656,1401MT52,Noorsaba,Noorsaba@mycollege.in,MT
657,1401MT53,Punya,Punya@mycollege.in,MT
658,1401MT54,Nihal,Nihal@mycollege.in,MT
659,1401MT55,Devyanti,Devyanti@mycollege.in,MT
660,1401MT56,Nishchay,Nishchay@mycollege.in,MT
661,1401MT57,Shagun,Shagun@mycollege.in,MT
662,1401MT58,Joy,Joy@mycollege.in,MT
663,1401MT59,Reshami,Reshami@mycollege.in,MT
664,1401MT60,Ronit,Ronit@mycollege.in,MT
665,1401MT61,Rishu,Rishu@mycollege.in,MT
666,1401MT62,Prasun,Prasun@mycollege.in,MT
667,1401MT63,Prakharendra,Prakharendra@mycollege.in,MT
668,1401MT64,Priyamvada,Priyamvada@mycollege.in,MT
669,1401MT65,Rajneesh,Rajneesh@mycollege.in,MT
670,1401MT66,Kausar,Kausar@mycollege.in,MT
671,1401MT67,Rouby,Rouby@mycollege.in,MT
672,1401MT68,Sanket,Sanket@mycollege.in,MT
673,1401MT69,Hari,Hari@mycollege.in,MT
674,1401MT70,Saumile,Saumile@mycollege.in,MT
675,1401MT71,Shagufta,Shagufta@mycollege.in,MT
676,1401MT72,Shaad,Shaad@mycollege.in,MT
677,1401MT73,Rupali,Rupali@mycollege.in,MT
678,1401MT74,Jenamani,Jenamani@mycollege.in,MT
679,1401MT75,Sadiya,Sadiya@mycollege.in,MT
680,1401MT76,Saksham,Saksham@mycollege.in,MT
681,1401MT77,Saharsh,Saharsh@mycollege.in,MT
682,1401MT78,Kushan,Kushan@mycollege.in,MT
