Roll,Name,Email,Unnamed: 3,Unique,Dept
1401CT17,Vineeta,Vineeta@mycollege.in,,,CT
1401CT18,Vibhanshu,Vibhanshu@mycollege.in,,,CT
1401CT19,Monti,Monti@mycollege.in,,,CT
1401CT20,Minakshi,Minakshi@mycollege.in,,,CT
1401CT21,Nitikarsh,Nitikarsh@mycollege.in,,,CT
1401CT22,Mugdha,Mugdha@mycollege.in,,,CT
1401CT23,Madhu,Madhu@mycollege.in,,,CT
1401CT24,Khanak,Khanak@mycollege.in,,,CT
1401CT25,Megha,Megha@mycollege.in,,,CT
1401CT26,Manya,Manya@mycollege.in,,,CT
1401CT27,Pakhi,Pakhi@mycollege.in,,,CT
1401CT28,Ranu,Ranu@mycollege.in,,,CT
1401CT29,Purvi,Purvi@mycollege.in,,,CT
1401CT30,Sapna,Sapna@mycollege.in,,,CT
1401CT31,Saloni,Saloni@mycollege.in,,,CT
1401CT32,Prachi,Prachi@mycollege.in,,,CT
1401CT33,Poonam,Poonam@mycollege.in,,,CT
1401CT34,Purnima,Purnima@mycollege.in,,,CT
1401CT35,Prajjwal,Prajjwal@mycollege.in,,,CT
1401CT36,Satya,Satya@mycollege.in,,,CT
1401CT37,Vandana,Vandana@mycollege.in,,,CT
1401CT38,Tanishq,Tanishq@mycollege.in,,,CT
1401CT39,Amaan,Amaan@mycollege.in,,,CT
1401CT40,Yuvraj,Yuvraj@mycollege.in,,,CT
1401CT41,Saurav,Saurav@mycollege.in,,,CT
1401CT42,Sanjeev,Sanjeev@mycollege.in,,,CT
1401CT43,Simaran,Simaran@mycollege.in,,,CT
1401CT44,Shrishti,Shrishti@mycollege.in,,,CT
1401CT45,Amrit,Amrit@mycollege.in,,,CT
1401CT46,Arman,Arman@mycollege.in,,,CT
1401CT47,Archana,Archana@mycollege.in,,,CT
1401CT48,Avanish,Avanish@mycollege.in,,,CT
1401CT49,Yusuf,Yusuf@mycollege.in,,,CT
1401CT50,Anubhav,Anubhav@mycollege.in,,,CT
1401CT51,Anita,Anita@mycollege.in,,,CT
1401CT52,Anupriya,Anupriya@mycollege.in,,,CT
1401CT53,Anukriti,Anukriti@mycollege.in,,,CT
1401CT54,Kritika,Kritika@mycollege.in,,,CT
1401CT55,Jaya,Jaya@mycollege.in,,,CT
1401CT56,Namrata,Namrata@mycollege.in,,,CT
1401CT57,Kushagra,Kushagra@mycollege.in,,,CT
1401CT58,Hariom,Hariom@mycollege.in,,,CT
1401CT59,Gargi,Gargi@mycollege.in,,,CT
1401CT60,Janvi,Janvi@mycollege.in,,,CT
1401CT61,Jai,Jai@mycollege.in,,,CT
1401CT62,Naziya,Naziya@mycollege.in,,,CT
1401CT63,Ragini,Ragini@mycollege.in,,,CT
1401CT64,Priyam,Priyam@mycollege.in,,,CT
1401CE01,Sarthak,Sarthak@mycollege.in,,,CE
1401CE02,Alok,Alok@mycollege.in,,,CE
1401CE03,Raghav,Raghav@mycollege.in,,,CE
1401CE04,Rishi,Rishi@mycollege.in,,,CE
1401CE05,Pragati,Pragati@mycollege.in,,,CE
1401CE06,Shivam,Shivam@mycollege.in,,,CE
1401CE07,Lakshya,Lakshya@mycollege.in,,,CE
1401CE08,Ashish,Ashish@mycollege.in,,,CE
1401CE09,Sandeep,Sandeep@mycollege.in,,,CE
1401CE10,Ishita,Ishita@mycollege.in,,,CE
1401CE11,Shaurya,Shaurya@mycollege.in,,,CE
1401CE12,Kashish,Kashish@mycollege.in,,,CE
1401CE13,Vineet,Vineet@mycollege.in,,,CE
1401CE14,Mayank,Mayank@mycollege.in,,,CE
1401CE15,Jyoti,Jyoti@mycollege.in,,,CE
1401CE16,Parul,Parul@mycollege.in,,,CE
1401CE17,Shambhavi,Shambhavi@mycollege.in,,,CE
1401CE18,Anshu,Anshu@mycollege.in,,,CE
1401CE19,Keshav,Keshav@mycollege.in,,,CE
1401CE20,Prince,Prince@mycollege.in,,,CE
1401CE21,Prakash,Prakash@mycollege.in,,,CE
1401CE22,Pratibha,Pratibha@mycollege.in,,,CE
1401CE23,Praveen,Praveen@mycollege.in,,,CE
1401CE24,Priyanshu,Priyanshu@mycollege.in,,,CE
1401CE25,Kshitij,Kshitij@mycollege.in,,,CE
1401CE26,Arushi,Arushi@mycollege.in,,,CE
1401CE27,Ishan,Ishan@mycollege.in,,,CE
1401CE28,Garima,Garima@mycollege.in,,,CE
1401CE29,Manish,Manish@mycollege.in,,,CE
1401CE30,Vaishnavi,Vaishnavi@mycollege.in,,,CE
1401CE31,Shreyansh,Shreyansh@mycollege.in,,,CE
1401CE32,Atul,Atul@mycollege.in,,,CE
1401CE33,Sarvesh,Sarvesh@mycollege.in,,,CE
1401CE34,Vidya,Vidya@mycollege.in,,,CE
1401CE35,Shubhangi,Shubhangi@mycollege.in,,,CE
1401CE36,Mohsin,Mohsin@mycollege.in,,,CE
1401CE37,Saran,Saran@mycollege.in,,,CE
1401CE38,Vikash,Vikash@mycollege.in,,,CE
